,TimeGMT,Hmax meter,Hs meter,H1/3 meter,Direction deg,Tav sec,Tz sec,Tp sec,Temperature oC
35,2021-07-26 17:45:00,1.30,0.91,0.82,280,4.8,4.4,7.1,30.00
36,2021-07-26 18:15:00,1.22,0.89,0.80,283,4.6,4.4,7.1,30.00
37,2021-07-26 18:45:00,1.51,0.91,0.82,281,4.6,4.4,7.1,30.00
38,2021-07-26 19:15:00,1.32,0.87,0.78,283,4.6,4.4,7.1,30.00
39,2021-07-26 19:45:00,1.42,0.93,0.83,283,4.7,4.4,7.1,29.95
40,2021-07-26 20:15:00,1.32,0.90,0.82,283,4.7,4.5,7.1,29.95
41,2021-07-26 20:45:00,1.30,0.87,0.80,280,4.6,4.3,6.7,30.00
42,2021-07-26 21:15:00,1.33,0.93,0.84,283,4.8,4.7,7.1,30.00
43,2021-07-26 21:45:00,1.35,0.81,0.74,281,4.4,4.3,7.1,30.00
44,2021-07-26 22:15:00,1.16,0.80,0.74,287,4.8,4.4,7.1,30.00
45,2021-07-26 22:45:00,1.31,0.82,0.75,280,4.6,4.4,7.1,29.95
46,2021-07-26 23:15:00,1.12,0.79,0.72,290,4.7,4.5,7.1,29.95
47,2021-07-26 23:45:00,1.07,0.77,0.70,283,4.7,4.4,6.7,30.00
48,2021-07-27 00:15:00,1.07,0.75,0.68,283,4.6,4.4,6.7,30.00
49,2021-07-27 00:45:00,1.30,0.80,0.74,281,4.9,4.7,7.7,29.95
50,2021-07-27 01:15:00,1.19,0.80,0.73,280,5.0,4.7,7.1,30.00
51,2021-07-27 01:45:00,1.08,0.76,0.68,281,4.9,4.7,7.7,30.05
52,2021-07-27 02:15:00,1.30,0.82,0.74,280,5.0,4.7,7.7,30.05
53,2021-07-27 02:45:00,1.07,0.78,0.69,281,4.8,4.7,7.7,30.05
54,2021-07-27 03:15:00,1.15,0.80,0.73,284,5.2,4.8,7.1,30.05
55,2021-07-27 03:45:00,1.31,0.78,0.71,280,5.0,4.9,7.7,30.05
56,2021-07-27 04:15:00,1.30,0.77,0.69,281,4.9,4.8,7.7,30.05
57,2021-07-27 04:45:00,1.20,0.82,0.73,280,5.0,4.9,7.1,30.10
58,2021-07-27 05:15:00,1.21,0.80,0.73,284,5.2,5.0,7.7,30.10
59,2021-07-27 05:45:00,1.26,0.76,0.71,281,5.0,4.7,7.1,30.15
60,2021-07-27 06:15:00,1.40,0.78,0.71,283,4.8,4.7,7.1,30.15
61,2021-07-27 06:45:00,1.19,0.75,0.68,287,4.7,4.7,7.7,30.15
62,2021-07-27 07:15:00,1.29,0.80,0.72,276,4.7,4.5,6.7,30.20
63,2021-07-27 07:45:00,1.33,0.78,0.69,278,4.5,4.3,6.7,30.25
64,2021-07-27 08:15:00,1.17,0.81,0.72,283,4.7,4.4,7.7,30.30
65,2021-07-27 08:45:00,1.76,0.80,0.71,288,4.5,4.2,7.7,30.40
66,2021-07-27 09:15:00,1.19,0.80,0.72,277,4.6,4.3,7.1,30.40
67,2021-07-27 09:45:00,1.20,0.81,0.76,281,4.5,4.2,7.1,30.35
68,2021-07-27 10:15:00,1.11,0.88,0.79,278,4.4,4.1,6.7,30.30
69,2021-07-27 10:45:00,1.25,0.82,0.75,280,4.4,4.1,7.1,30.35
70,2021-07-27 11:15:00,1.35,0.80,0.73,278,4.3,4.0,7.1,30.45
71,2021-07-27 11:45:00,1.36,0.91,0.82,278,4.3,4.1,6.7,30.50
72,2021-07-27 12:15:00,1.68,0.89,0.80,281,4.2,4.0,7.7,30.50
73,2021-07-27 12:45:00,1.60,0.91,0.82,277,4.4,4.0,7.1,30.65
74,2021-07-27 13:15:00,1.42,0.89,0.81,280,4.3,4.0,7.1,30.65
75,2021-07-27 13:45:00,1.34,0.85,0.75,283,4.0,3.8,7.7,30.65
76,2021-07-27 14:15:00,1.25,0.85,0.75,281,4.2,3.9,7.1,30.60
77,2021-07-27 14:45:00,1.22,0.82,0.73,284,4.2,3.9,7.1,30.60
78,2021-07-27 15:15:00,1.18,0.85,0.78,278,4.2,4.0,7.1,30.55
79,2021-07-27 15:45:00,1.53,0.84,0.76,280,4.3,4.0,6.7,30.55
80,2021-07-27 16:15:00,1.05,0.75,0.68,281,4.0,3.8,7.1,30.50
33,2021-07-27 16:45:00,1.23,0.80,0.72,278,4.2,3.9,6.7,30.55
34,2021-07-27 17:15:00,1.21,0.82,0.74,280,4.3,4.0,7.1,30.55
35,2021-07-27 17:45:00,1.09,0.75,0.66,276,4.1,3.9,7.1,30.50
36,2021-07-27 18:15:00,1.01,0.74,0.66,281,4.2,3.9,7.1,30.50
37,2021-07-27 18:45:00,1.06,0.73,0.66,280,4.2,4.1,7.1,30.50
38,2021-07-27 19:15:00,1.09,0.72,0.64,274,4.3,4.1,7.1,30.45
39,2021-07-27 19:45:00,1.01,0.72,0.65,283,4.5,4.1,6.7,30.45
40,2021-07-27 20:15:00,1.06,0.72,0.64,281,4.4,4.1,7.1,30.45
41,2021-07-27 20:45:00,1.03,0.72,0.64,280,4.3,4.1,5.9,30.45
42,2021-07-27 21:15:00,1.37,0.73,0.64,281,4.2,4.1,6.7,30.45
43,2021-07-27 21:45:00,1.28,0.77,0.69,281,4.2,4.0,7.1,30.45
44,2021-07-27 22:15:00,0.97,0.71,0.65,287,4.4,4.1,6.2,30.45
45,2021-07-27 22:45:00,1.25,0.77,0.70,285,4.4,4.3,6.7,30.45
46,2021-07-27 23:15:00,1.06,0.71,0.63,285,4.2,4.1,6.7,30.45
47,2021-07-27 23:45:00,1.32,0.71,0.66,280,4.4,4.1,7.1,30.45
48,2021-07-28 00:15:00,1.08,0.75,0.69,283,4.5,4.2,6.7,30.45
49,2021-07-28 00:45:00,1.33,0.70,0.64,281,4.5,4.3,6.7,30.40
50,2021-07-28 01:15:00,1.07,0.73,0.68,278,4.6,4.3,7.1,30.40
51,2021-07-28 01:45:00,1.16,0.68,0.62,284,4.6,4.4,5.3,30.35
52,2021-07-28 02:15:00,1.15,0.72,0.67,281,4.6,4.5,6.7,30.35
53,2021-07-28 02:45:00,1.03,0.69,0.63,280,4.3,4.2,7.1,30.30
54,2021-07-28 03:15:00,1.20,0.71,0.65,281,4.2,4.1,7.1,30.30
55,2021-07-28 03:45:00,1.07,0.73,0.67,287,4.1,4.0,7.1,30.30
56,2021-07-28 04:15:00,1.09,0.67,0.61,281,3.8,3.6,7.1,30.30
57,2021-07-28 04:45:00,1.40,0.77,0.70,283,4.0,3.9,7.1,30.25
58,2021-07-28 05:15:00,1.23,0.78,0.70,285,4.2,3.8,6.7,30.25
59,2021-07-28 05:45:00,1.20,0.79,0.72,285,4.0,3.7,6.7,30.30
60,2021-07-28 06:15:00,1.14,0.79,0.70,284,4.0,3.7,7.1,30.35
61,2021-07-28 06:45:00,1.12,0.80,0.69,285,3.9,3.6,6.7,30.50
62,2021-07-28 07:15:00,1.24,0.77,0.69,288,3.9,3.5,7.1,30.45
63,2021-07-28 07:45:00,1.19,0.79,0.68,281,3.8,3.5,6.7,30.45
64,2021-07-28 08:15:00,1.18,0.79,0.71,285,3.8,3.6,6.2,30.30
65,2021-07-28 08:45:00,1.44,0.84,0.75,288,4.0,3.6,5.0,30.30
66,2021-07-28 09:15:00,1.38,0.89,0.80,284,4.1,3.9,6.7,30.50
67,2021-07-28 09:45:00,1.39,0.90,0.80,284,4.2,4.0,5.9,30.50
68,2021-07-28 10:15:00,1.27,0.88,0.80,285,4.2,4.0,4.8,30.70
69,2021-07-28 10:45:00,1.53,0.96,0.86,285,4.3,4.2,5.6,30.75
70,2021-07-28 11:15:00,1.52,0.93,0.85,288,4.2,4.2,5.6,30.70
71,2021-07-28 11:45:00,1.30,0.92,0.84,285,4.5,4.2,5.6,30.75
72,2021-07-28 12:15:00,1.50,0.95,0.84,285,4.4,4.3,5.6,30.75
73,2021-07-28 12:45:00,1.61,0.89,0.83,287,4.4,4.2,5.6,30.65
74,2021-07-28 13:15:00,1.49,0.93,0.83,291,4.4,4.3,5.9,30.50
75,2021-07-28 13:45:00,1.33,0.90,0.85,294,4.5,4.2,5.6,30.45
76,2021-07-28 14:15:00,1.31,0.88,0.82,285,4.3,4.1,5.6,30.50
77,2021-07-28 14:45:00,1.40,0.86,0.80,284,4.4,4.0,6.2,30.50
78,2021-07-28 15:15:00,1.48,0.84,0.74,287,4.2,4.0,5.6,30.40
79,2021-07-28 15:45:00,1.21,0.82,0.73,287,4.4,4.1,5.6,30.35
80,2021-07-28 16:15:00,1.33,0.84,0.75,281,4.4,4.1,5.6,30.25
33,2021-07-28 16:45:00,1.16,0.75,0.68,284,4.2,4.1,5.6,30.20
34,2021-07-28 17:15:00,1.17,0.80,0.73,280,4.4,4.3,5.9,30.20
35,2021-07-28 17:45:00,1.06,0.75,0.68,283,4.3,4.2,5.3,30.20
36,2021-07-28 18:15:00,1.05,0.73,0.65,285,4.3,4.2,5.3,30.20
37,2021-07-28 18:45:00,1.27,0.76,0.70,284,4.6,4.3,7.1,30.15
38,2021-07-28 19:15:00,1.05,0.73,0.67,274,4.4,4.3,5.6,29.90
39,2021-07-28 19:45:00,1.02,0.69,0.63,283,4.4,4.2,5.3,29.80
40,2021-07-28 20:15:00,0.96,0.70,0.62,280,4.5,4.4,6.7,29.80
41,2021-07-28 20:45:00,1.07,0.69,0.62,287,4.7,4.4,6.7,29.80
42,2021-07-28 21:15:00,0.87,0.64,0.59,280,4.4,4.3,5.9,29.85
43,2021-07-28 21:45:00,1.52,0.69,0.63,281,4.4,4.3,6.2,29.90
44,2021-07-28 22:15:00,1.24,0.69,0.62,287,4.7,4.4,6.7,29.80
45,2021-07-28 22:45:00,1.01,0.68,0.63,277,4.5,4.3,6.2,29.70
46,2021-07-28 23:15:00,1.07,0.68,0.63,284,4.7,4.4,6.2,29.70
47,2021-07-28 23:45:00,1.00,0.68,0.61,283,4.5,4.3,6.7,29.70
48,2021-07-29 00:15:00,0.97,0.67,0.62,285,4.6,4.4,6.7,29.75
49,2021-07-29 00:45:00,1.03,0.69,0.62,280,4.6,4.4,6.2,29.75
50,2021-07-29 01:15:00,1.09,0.68,0.62,285,4.4,4.3,6.2,29.70
51,2021-07-29 01:45:00,0.96,0.67,0.63,283,4.5,4.3,5.9,29.75
52,2021-07-29 02:15:00,1.04,0.69,0.64,280,4.4,4.3,6.2,29.80
53,2021-07-29 02:45:00,0.97,0.68,0.61,283,4.2,4.1,5.9,29.80
54,2021-07-29 03:15:00,1.22,0.70,0.65,285,4.0,3.9,5.9,29.75
55,2021-07-29 03:45:00,0.90,0.66,0.59,276,3.9,3.5,5.9,29.70
56,2021-07-29 04:15:00,1.05,0.73,0.64,277,3.9,3.7,6.2,29.55
57,2021-07-29 04:45:00,1.24,0.68,0.60,284,3.7,3.4,6.2,29.50
58,2021-07-29 05:15:00,1.06,0.68,0.58,285,3.4,3.2,5.9,29.50
59,2021-07-29 05:45:00,1.06,0.68,0.60,287,3.4,3.3,6.2,29.50
60,2021-07-29 06:15:00,0.96,0.67,0.59,287,3.5,3.4,5.9,29.55
61,2021-07-29 06:45:00,1.29,0.72,0.64,305,3.6,3.4,5.6,29.55
62,2021-07-29 07:15:00,0.97,0.71,0.63,287,3.6,3.4,5.3,29.55
63,2021-07-29 07:45:00,1.09,0.74,0.65,280,3.6,3.3,5.6,29.60
64,2021-07-29 08:15:00,1.19,0.69,0.62,274,3.5,3.3,4.2,29.70
65,2021-07-29 08:45:00,1.15,0.71,0.62,284,3.5,3.2,4.8,29.80
66,2021-07-29 09:15:00,1.13,0.73,0.63,283,3.4,3.2,5.0,29.75
67,2021-07-29 09:45:00,1.28,0.76,0.66,278,3.4,3.2,5.0,29.80
68,2021-07-29 10:15:00,1.30,0.77,0.67,281,3.4,3.3,4.3,29.80
69,2021-07-29 10:45:00,1.26,0.72,0.64,278,3.5,3.3,4.3,29.85
70,2021-07-29 11:15:00,1.21,0.73,0.64,285,3.6,3.4,5.3,29.85
71,2021-07-29 11:45:00,1.15,0.80,0.72,288,3.8,3.5,5.0,29.90
72,2021-07-29 12:15:00,1.11,0.80,0.70,291,3.7,3.5,5.0,29.85
73,2021-07-29 12:45:00,1.30,0.76,0.68,284,3.6,3.5,5.0,29.85
74,2021-07-29 13:15:00,1.18,0.75,0.67,284,3.7,3.5,5.0,29.85
75,2021-07-29 13:45:00,1.17,0.76,0.66,290,3.6,3.5,5.0,29.85
76,2021-07-29 14:15:00,1.24,0.78,0.68,281,3.7,3.5,4.8,29.85
77,2021-07-29 14:45:00,1.02,0.75,0.66,274,3.7,3.5,6.2,29.85
78,2021-07-29 15:15:00,1.05,0.75,0.66,277,3.7,3.5,5.9,29.85
79,2021-07-29 15:45:00,1.22,0.75,0.66,280,3.7,3.5,4.8,29.85
80,2021-07-29 16:15:00,1.09,0.75,0.65,288,3.7,3.5,4.8,29.80
